Academy of Management Journal,AMJ
Academy of Management Review,AMR
Administrative Science Quarterly,ASQ
American Economic Review,AER
Journal of Labor Economics,JLE
Journal of Marketing Research,JMR
Marketing Science,MSCI
Journal of Consumer Research,JCR
Journal of Marketing,JM
Management Science,MS
Operations Research,OR
Organization Science,OS
Strategic Management Journal,SMJ
Journal of International Business Studies,JIBS
Journal of Applied Psychology,JAP
Personnel Psychology,PP
Academy of Management Learning & Education,AMLE
Journal of Management,JOM
Journal of Management Studies,JMS
Journal of Business Venturing,JBV
Entrepreneurship Theory and Practice,ETP
Journal of Operations Management,JOM
Production and Operations Management,POM
Journal of Supply Chain Management,JSCM
Transportation Research Part E,TRPE
Journal of International Management,JIM
International Business Review,IBR
Journal of World Business,JWB
Strategic Organization,SO
Journal of Business Ethics,JBE
