变量,变量名,样本量,均值,标准差,最小值,P25,中位数,P75,最大值
心理健康(z-score),mental_common_z,29392,0.046,1.047,-1.809,-0.832,-0.100,0.632,3.562
心理健康不良(>P75),mental_poor,30708,0.207,0.405,0.000,0.000,0.000,0.000,1.000
班级平均父母教育年限,cls_mean_max_education,29400,10.894,1.946,6.692,9.385,10.487,12.389,16.679
班级父母教育年限标准差,cls_sd_max_education,29394,2.374,0.513,0.000,2.015,2.381,2.739,4.041
班级上过大学比例,college_yn,28592,0.197,0.398,0.000,0.000,0.000,0.000,1.000
家庭SES综合指数,ses_index,29398,0.001,0.753,-3.580,-0.441,-0.118,0.551,4.000
低SES(虚拟变量),ses_low,30708,0.369,0.482,0.000,0.000,0.000,1.000,1.000
高SES(虚拟变量),ses_high,30708,0.314,0.464,0.000,0.000,0.000,1.000,1.000
学业压力(z-score),academic_pressure_z,29210,0.049,1.005,-1.787,-0.870,0.038,0.945,1.903
亲子投入(z-score),parent_investment_z,29331,0.027,0.992,-1.767,-0.675,-0.057,0.641,3.345
性别(女=1),gender,29299,0.518,0.500,0.000,0.000,1.000,1.000,1.000
户口(非农=1),hukou_type,28076,0.461,0.498,0.000,0.000,0.000,1.000,1.000
民族(汉=1),nationality,29681,0.912,0.283,0.000,1.000,1.000,1.000,1.000
独生子女,yn_single_child,28820,0.442,0.497,0.000,0.000,0.000,1.000,1.000
标准化成绩,tscore,28771,236.166,74.411,0.000,188.000,242.500,282.000,440.000
班级平均心理健康,cls_mean_mental,28913,0.041,0.266,-1.320,-0.138,0.043,0.213,3.562
班级心理健康标准差,cls_sd_mental,29399,1.007,0.162,0.345,0.897,1.009,1.101,2.416
