稳健性检验,β,标准误,p值,N,R²,显著
0. 基准模型,-0.0089,(0.0209),0.6686,17171,0.008,❌
2a. 原始自变量值,-0.0046,(0.0108),0.6686,17171,0.008,❌
3a. 原始加总DV,-0.0366,(0.0856),0.6686,17171,0.008,❌
4a. 父母教育控制,0.0190,(0.0204),0.3514,17522,0.010,❌
4b. 家庭经济控制,0.0152,(0.0214),0.4773,16535,0.018,❌
5a. 仅城市户口,0.0195,(0.0250),0.4364,8021,0.006,❌
5b. 仅农村户口,-0.0591,(0.0236),0.0122,9150,0.012,✅
5c. 与父亲同住,-0.0007,(0.0213),0.9734,13688,0.007,❌
5d. 仅公立学校,-0.0011,(0.0219),0.9595,15947,0.007,❌
6a. 排除±3SD,-0.0272,(0.0201),0.1761,16891,0.013,❌
6b. 排除班级极端值,-0.0102,(0.0213),0.6319,17144,0.008,❌
7a. 加班级规模,-0.0108,(0.0200),0.5911,17171,0.008,❌
7b. 学校固定效应,-0.0721,(0.0463),0.1195,17171,0.042,❌
